id	resource	type	text	sf	resultSize	maxJVDPath	maxJVDSink	maxJVDStar	maxJVDHybrid	maxJVD	meanJoinVertexDegree	medianJoinVertexDegree	joinVertices	projectVars	tps	distinct	predicateVar
0	http://lsq.aksw.org/res/q-50b10960	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:years  ?object } 	http://lsq.aksw.org/res/sf-q-50b10960	843320						0	0	0	2	1	0	0
1	http://lsq.aksw.org/res/q-08624889	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:starring  ?object } 	http://lsq.aksw.org/res/sf-q-08624889	383117						0	0	0	2	1	0	0
2	http://lsq.aksw.org/res/q-155316be	http://lsq.aksw.org/vocab#Query	SELECT  ?subject ?object WHERE   { ?subject  <http://dbpedia.org/ontology/runtime>  ?object } 	http://lsq.aksw.org/res/sf-q-155316be	253759						0	0	0	2	1	0	0
3	http://lsq.aksw.org/res/q-212dacf0	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:runtime  ?object } 	http://lsq.aksw.org/res/sf-q-212dacf0	253759						0	0	0	2	1	0	0
4	http://lsq.aksw.org/res/q-6d1f646e	http://lsq.aksw.org/vocab#Query	PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?x WHERE   { ?x  ns:type  dbp-owl:Olympics ;         ?p       ?o   } 	http://lsq.aksw.org/res/sf-q-6d1f646e	578308			2		2	2	2	1	1	2	0	1
5	http://lsq.aksw.org/res/q-824ff9e8	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:releaseDate  ?object } 	http://lsq.aksw.org/res/sf-q-824ff9e8	196560						0	0	0	2	1	0	0
6	http://lsq.aksw.org/res/q-9864cb5e	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?x6 ?r0 ?r1 ?r2 WHERE   { <http://dbpedia.org/resource/Casablanca_(film)>               ?r0       dbp-owl:Film .     ?x0       rdf:type  dbp-owl:Person .     <http://dbpedia.org/resource/Casablanca_(film)>               ?r1       ?x0 .     ?x6       rdf:type  dbp-owl:Person ;               ?r2       :Catholic_Church   } 	http://lsq.aksw.org/res/sf-q-9864cb5e	2285184	2	2	2		2	2	2	5	5	5	1	1
7	http://lsq.aksw.org/res/q-c988b3c9	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?x6 ?r0 ?r1 ?r2 WHERE   { <http://dbpedia.org/resource/Casablanca_(film)>               ?r0       dbp-owl:Film .     ?x0       rdf:type  dbp-owl:Person .     <http://dbpedia.org/resource/Casablanca_(film)>               ?r1       ?x0 .     ?x6       rdf:type  dbp-owl:Person ;               ?r2       :Catholic_Church   } 	http://lsq.aksw.org/res/sf-q-c988b3c9	2631588	2	2	2		2	2	2	5	5	5	1	1
8	http://lsq.aksw.org/res/q-2f983a76	http://lsq.aksw.org/vocab#Query	PREFIX  dbo:  <http://dbpedia.org/ontology/>  SELECT  * WHERE   { ?film  dbo:writer  ?writer } 	http://lsq.aksw.org/res/sf-q-2f983a76	177539						0	0	0	2	1	0	0
9	http://lsq.aksw.org/res/q-5cf2bdb2	http://lsq.aksw.org/vocab#Query	PREFIX  dbo:  <http://dbpedia.org/ontology/> PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT  ?cityName ?country WHERE   { ?city  rdf:type     dbo:City ;            rdfs:label   ?cityName ;            dbo:country  ?country   } 	http://lsq.aksw.org/res/sf-q-5cf2bdb2	22634			3		3	3	3	1	2	3	0	0
10	http://lsq.aksw.org/res/q-d4b20581	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbpprop: <http://dbpedia.org/property/>  SELECT  ?subject WHERE   { ?subject  ns:type       dbp-owl:Animal ;               dbpprop:name  ?o   } 	http://lsq.aksw.org/res/sf-q-d4b20581	133983			2		2	2	2	1	1	2	0	0
11	http://lsq.aksw.org/res/q-90ad56ab	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbpedia: <http://dbpedia.org/>  SELECT DISTINCT  ?subject WHERE   { ?subject  rdf:type  <http://dbpedia.org/ontology/Film> } 	http://lsq.aksw.org/res/sf-q-90ad56ab	177989						0	0	0	1	1	1	0
12	http://lsq.aksw.org/res/q-a196ac4f	http://lsq.aksw.org/vocab#Query	PREFIX  dbo:  <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?film WHERE   { ?film  rdf:type  dbo:Film } 	http://lsq.aksw.org/res/sf-q-a196ac4f	177989						0	0	0	1	1	1	0
13	http://lsq.aksw.org/res/q-0ce4eb06	http://lsq.aksw.org/vocab#Query	PREFIX  dbpedia-owl: <http://dbpedia.org/ontology/>  SELECT DISTINCT  ?attore WHERE   { ?film  dbpedia-owl:starring  ?attore } 	http://lsq.aksw.org/res/sf-q-0ce4eb06	94682						0	0	0	1	1	1	0
14	http://lsq.aksw.org/res/q-cb8c144d	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbpedia: <http://dbpedia.org/>  SELECT  ?pers ?fio ?born ?prof WHERE   { ?pers  rdf:type              <http://dbpedia.org/ontology/Person> ;            <http://dbpedia.org/property/birthName>  ?fio ;            <http://dbpedia.org/property/birthDate>  ?born ;            <http://dbpedia.org/property/birthPlace>  ?prof   } 	http://lsq.aksw.org/res/sf-q-cb8c144d	145270			4		4	4	4	1	4	4	0	0
15	http://lsq.aksw.org/res/q-088fcd44	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  rdf:type  dbp-owl:Place ;          ?r1       :Iran   } 	http://lsq.aksw.org/res/sf-q-088fcd44	129370			2		2	2	2	1	2	2	1	1
16	http://lsq.aksw.org/res/q-36c9ed8e	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  ns:type  dbp-owl:Place ;          ?r1      :Iran   } 	http://lsq.aksw.org/res/sf-q-36c9ed8e	129370			2		2	2	2	1	2	2	1	1
17	http://lsq.aksw.org/res/q-568f51ff	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  rdf:type  dbp-owl:Place ;          ?r1       :Iran   } 	http://lsq.aksw.org/res/sf-q-568f51ff	129370			2		2	2	2	1	2	2	1	1
18	http://lsq.aksw.org/res/q-65aea155	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  ns:type  dbp-owl:Place ;          ?r1      :Iran   } 	http://lsq.aksw.org/res/sf-q-65aea155	129370			2		2	2	2	1	2	2	1	1
19	http://lsq.aksw.org/res/q-8818ef70	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  ns:type  dbp-owl:Place ;          ?r1      :Iran   } 	http://lsq.aksw.org/res/sf-q-8818ef70	129370			2		2	2	2	1	2	2	1	1
20	http://lsq.aksw.org/res/q-df85fef1	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  rdf:type  dbp-owl:Place ;          ?r1       :Iran   } 	http://lsq.aksw.org/res/sf-q-df85fef1	129370			2		2	2	2	1	2	2	1	1
21	http://lsq.aksw.org/res/q-e21878ea	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  rdf:type  dbp-owl:Place ;          ?r1       :Iran   } 	http://lsq.aksw.org/res/sf-q-e21878ea	129370			2		2	2	2	1	2	2	1	1
22	http://lsq.aksw.org/res/q-fb28bbfc	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  rdf:type  dbp-owl:Place ;          ?r1       :Iran   } 	http://lsq.aksw.org/res/sf-q-fb28bbfc	129370			2		2	2	2	1	2	2	1	1
23	http://lsq.aksw.org/res/q-ff2f644f	http://lsq.aksw.org/vocab#Query	PREFIX  :     <http://dbpedia.org/resource/> PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?x0 ?r1 WHERE   { ?x0  rdf:type  dbp-owl:Place ;          ?r1       :Iran   } 	http://lsq.aksw.org/res/sf-q-ff2f644f	129370			2		2	2	2	1	2	2	1	1
24	http://lsq.aksw.org/res/q-342055e1	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?artist WHERE   { ?album  dbp-owl:musicalArtist  ?artist } 	http://lsq.aksw.org/res/sf-q-342055e1	53343						0	0	0	1	1	0	0
25	http://lsq.aksw.org/res/q-c2d9e848	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:industry  ?object } 	http://lsq.aksw.org/res/sf-q-c2d9e848	50100						0	0	0	2	1	0	0
26	http://lsq.aksw.org/res/q-31a98ba4	http://lsq.aksw.org/vocab#Query	PREFIX  dbo:  <http://dbpedia.org/ontology/>  SELECT  * FROM <http://dbpedia.org> WHERE   { ?p  ?o  dbo:MusicalArtist } 	http://lsq.aksw.org/res/sf-q-31a98ba4	0						0	0	0	2	1	0	1
27	http://lsq.aksw.org/res/q-3058f70f	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?ot ?st WHERE   { ?s  <http://dbpedia.org/property/sourceRegion>  ?o .     ?o  rdf:type              ?ot .     ?s  rdf:type              ?st   } 	http://lsq.aksw.org/res/sf-q-3058f70f	2280	2	2	2		2	2	2	3	2	3	1	0
28	http://lsq.aksw.org/res/q-93ca2cd1	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT  ?p WHERE   { ?instance  rdf:type  <http://dbpedia.org/ontology/Prison> ;               ?p        ?o   } 	http://lsq.aksw.org/res/sf-q-93ca2cd1	111449			2		2	2	2	1	1	2	0	1
29	http://lsq.aksw.org/res/q-282baa00	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT  ?x WHERE   { ?x  rdf:type  <http://dbpedia.org/ontology/TelevisionShow> .     ?y  rdf:type  <http://dbpedia.org/ontology/TelevisionStation> .     ?x  ?p1       ?y   } 	http://lsq.aksw.org/res/sf-q-282baa00	126015	2	2	2		2	2	2	3	1	3	0	1
30	http://lsq.aksw.org/res/q-71b1e172	http://lsq.aksw.org/vocab#Query	PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?title ?author WHERE   { ?title  ns:type  dbp-owl:Book } 	http://lsq.aksw.org/res/sf-q-71b1e172	90043						0	0	0	2	1	0	0
31	http://lsq.aksw.org/res/q-5059904f	http://lsq.aksw.org/vocab#Query	PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?title ?author WHERE   { ?title  ns:type         dbp-owl:Book ;             dbp-owl:author  ?author   } 	http://lsq.aksw.org/res/sf-q-5059904f	35375			2		2	2	2	1	2	2	0	0
32	http://lsq.aksw.org/res/q-82445278	http://lsq.aksw.org/vocab#Query	PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT DISTINCT  ?s ?author WHERE   { ?s  ns:type         dbp-owl:Book ;         dbp-owl:author  ?author   } 	http://lsq.aksw.org/res/sf-q-82445278	35375			2		2	2	2	1	2	2	1	0
33	http://lsq.aksw.org/res/q-a1a49f57	http://lsq.aksw.org/vocab#Query	PREFIX  ns:   <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT DISTINCT  ?s ?author WHERE   { ?s  ns:type         dbp-owl:Book ;         dbp-owl:author  ?author   } 	http://lsq.aksw.org/res/sf-q-a1a49f57	35375			2		2	2	2	1	2	2	1	0
34	http://lsq.aksw.org/res/q-d24bdb86	http://lsq.aksw.org/vocab#Query	PREFIX  dbo:  <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  SELECT DISTINCT  ?uri ?x WHERE   { ?uri  rdf:type              dbo:Animal ;           dbo:conservationStatus  ?x   } 	http://lsq.aksw.org/res/sf-q-d24bdb86	34967			2		2	2	2	1	2	2	1	0
35	http://lsq.aksw.org/res/q-b74a7695	http://lsq.aksw.org/vocab#Query	PREFIX  dbo:  <http://dbpedia.org/ontology/>  SELECT  * FROM <http://dbpedia.org> WHERE   { ?p  ?o  dbo:Band } 	http://lsq.aksw.org/res/sf-q-b74a7695	0						0	0	0	2	1	0	1
36	http://lsq.aksw.org/res/q-3f8f1d82	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbpprop: <http://dbpedia.org/property/>  SELECT  ?subject WHERE   { ?subject  rdf:type      <http://www.wikidata.org/entity/Q215380> ;               dbpprop:name  ?o   } 	http://lsq.aksw.org/res/sf-q-3f8f1d82	33973			2		2	2	2	1	1	2	0	0
37	http://lsq.aksw.org/res/q-a07d1bdd	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbpprop: <http://dbpedia.org/property/>  SELECT  ?subject WHERE   { ?subject  rdf:type      <http://umbel.org/umbel/rc/Athlete> ;               dbpprop:name  ?o   } 	http://lsq.aksw.org/res/sf-q-a07d1bdd	0			2		2	2	2	1	1	2	0	0
38	http://lsq.aksw.org/res/q-77649d20	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/> PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  dbpprop: <http://dbpedia.org/property/>  SELECT  ?subject WHERE   { ?subject  rdf:type      dbp-owl:BodyOfWater ;               dbpprop:name  ?o   } 	http://lsq.aksw.org/res/sf-q-77649d20	30050			2		2	2	2	1	1	2	0	0
39	http://lsq.aksw.org/res/q-7b009833	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:editing  ?object } 	http://lsq.aksw.org/res/sf-q-7b009833	27996						0	0	0	2	1	0	0
40	http://lsq.aksw.org/res/q-0281d9db	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>  SELECT DISTINCT  ?p ?n WHERE   { ?p  rdf:type    <http://dbpedia.org/ontology/Planet> ;         rdfs:label  ?n   } 	http://lsq.aksw.org/res/sf-q-0281d9db	5989			2		2	2	2	1	2	2	1	0
41	http://lsq.aksw.org/res/q-2006fbd7	http://lsq.aksw.org/vocab#Query	PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>  SELECT DISTINCT  ?film_title ?film_abstract WHERE   { ?film_title  rdf:type   <http://dbpedia.org/ontology/Disease> ;               rdfs:comment  ?film_abstract   } 	http://lsq.aksw.org/res/sf-q-2006fbd7	13230			2		2	2	2	1	2	2	1	0
42	http://lsq.aksw.org/res/q-9d9fd0fb	http://lsq.aksw.org/vocab#Query	PREFIX  dbp-owl: <http://dbpedia.org/ontology/>  SELECT  ?subject ?object WHERE   { ?subject  dbp-owl:locationCity  ?object } 	http://lsq.aksw.org/res/sf-q-9d9fd0fb	26639						0	0	0	2	1	0	0
